구분,시∙도,성별/연령,계,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80,미상
결핵환자,2011,계,"50,491",62,40,320,"2,202","2,950","3,751","3,541","3,344","3,702","3,958","4,471","3,742","3,176","3,453","4,082","3,718","3,979",0
,,,(100.8),(2.7),(1.7),(10.0),(62.1),(93.3),(104.2),(89.6),(78.2),(82.4),(93.9),(108.0),(123.3),(140.2),(183.1),(256.6),(344.1),(410.7),-
,,남,"29,811",31,24,138,"1,378","1,508","1,905","1,931","2,007","2,365","2,687","3,059","2,555","2,134","2,184","2,334","1,898","1,673",0
,,,(118.9),(2.6),(1.9),(8.3),(73.2),(90.8),(102.8),(95.8),(92.2),(103.8),(124.6),(146.7),(169.5),(192.6),(249.3),(339.8),(463.3),(600.3),-
,,여,"20,680",31,16,182,824,"1,442","1,846","1,610","1,337","1,337","1,271","1,412","1,187","1,042","1,269","1,748","1,820","2,306",0
,,,(82.6),(2.8),(1.4),(11.9),(49.6),(96.2),(105.7),(83.2),(63.8),(60.4),(61.7),(68.7),(77.7),(90.0),(125.7),(193.3),(271.3),(334.2),-
,2012,계,"49,532",64,47,212,"1,756","2,764","3,447","3,300","3,052","3,579","3,839","4,420","3,883","3,156","3,224","4,266","4,064","4,410",49
,,,(98.4),(2.8),(2.0),(7.0),(50.0),(85.0),(101.7),(82.3),(74.0),(78.4),(92.6),(103.0),(119.6),(134.8),(171.8),(252.1),(352.4),(425.2),
,,남,"29,501",39,24,101,"1,111","1,439","1,794","1,789","1,834","2,295","2,683","3,113","2,711","2,162","2,011","2,459","2,068","1,834",34
,,,(117.1),(3.3),(2.0),(6.4),(59.7),(84.0),(102.6),(87.4),(87.5),(99.1),(126.5),(144.1),(167.7),(188.7),(228.6),(333.2),(464.4),(610.3),
,,여,"20,031",25,23,111,645,"1,325","1,653","1,511","1,218","1,284","1,156","1,307","1,172",994,"1,213","1,807","1,996","2,576",15
,,,(79.6),(2.2),(2.0),(7.6),(39.1),(86.1),(100.7),(77.0),(60.1),(57.1),(57.0),(61.4),(71.8),(83.2),(121.6),(189.4),(281.9),(349.7),
,2013,계,"45,292",45,26,160,"1,382","2,424","2,906","2,984","2,643","3,306","3,489","4,118","3,649","2,926","2,865","3,905","3,776","4,681",7
,,,(89.6),(1.9),(1.1),(5.6),(40.1),(72.4),(90.1),(73.8),(66.5),(72.5),(83.2),(95.0),(105.8),(120.8),(149.2),(220.3),(308.9),(419.5),
,,남,"26,960",26,9,75,817,"1,309","1,547","1,601","1,558","2,097","2,416","2,867","2,558","1,995","1,871","2,325","1,927","1,958",4
,,,(106.6),(2.2),(0.7),(5.0),(44.9),(73.9),(92.8),(77.6),(77.1),(90.4),(113.3),(131.0),(148.6),(168.1),(206.1),(298.4),(401.8),(598.1),
,,여,"18,332",19,17,85,565,"1,115","1,359","1,383","1,085","1,209","1,073","1,251","1,091",931,994,"1,580","1,849","2,723",3
,,,(72.5),(1.7),(1.5),(6.2),(34.7),(70.6),(87.2),(69.9),(55.5),(54.0),(52.0),(58.2),(63.1),(75.3),(98.2),(159.1),(249.0),(345.4),
,2014,계,"43,088",41,23,120,"1,207","2,288","2,596","2,542","2,348","3,022","3,249","3,873","3,791","2,875","2,749","3,680","3,856","4,828",0
,,,(84.9),(1.8),(1.0),(4.4),(35.9),(66.6),(82.4),(64.0),(60.6),(67.0),(75.5),(89.6),(103.1),(114.0),(136.8),(206.2),(297.5),(400.1),-
,,남,"25,723",25,12,50,753,"1,258","1,334","1,404","1,350","1,906","2,240","2,748","2,658","1,982","1,791","2,172","1,963","2,077",0
,,,(101.4),(2.1),(1.0),(3.5),(42.6),(69.1),(81.6),(69.2),(68.4),(83.0),(102.8),(125.8),(144.8),(160.3),(186.9),(275.1),(380.4),(577.3),-
,,여,"17,365",16,11,70,454,"1,030","1,262","1,138",998,"1,116","1,009","1,125","1,133",893,958,"1,508","1,893","2,751",0
,,,(68.4),(1.4),(1.0),(5.4),(28.4),(63.9),(83.2),(58.6),(52.4),(50.4),(47.5),(52.6),(61.5),(69.5),(91.2),(151.5),(242.6),(324.8),-
,2015,계,"40,847",26,19,134,"1,092","1,919","2,282","2,206","2,146","2,626","2,925","3,614","3,664","2,929","2,719","3,416","3,945","5,185",0
,,,(80.2),(1.1),(0.8),(5.2),(33.3),(54.7),(72.9),(58.1),(55.3),(59.5),(66.9),(84.7),(94.4),(107.9),(128.9),(192.2),(291.4),(395.2),-
,,남,"24,625",19,13,79,675,"1,069","1,208","1,187","1,254","1,675","2,077","2,636","2,604","2,081","1,779","2,017","2,012","2,240",0
,,,(96.7),(1.6),(1.1),(5.9),(39.3),(57.4),(74.1),(61.1),(63.5),(74.6),(93.8),(122.0),(134.4),(156.3),(176.0),(254.7),(368.6),(562.2),-
,,여,"16,222",7,6,55,417,850,"1,074","1,019",892,951,848,978,"1,060",848,940,"1,399","1,933","2,945",0
,,,(63.6),(0.6),(0.5),(4.5),(26.7),(51.6),(71.6),(55.0),(46.8),(43.9),(39.3),(46.4),(54.5),(61.3),(85.6),(142.0),(239.3),(322.3),-
,2016,계,"39,245",18,13,106,806,"1,636","2,047","1,854","1,895","2,375","2,874","3,352","3,660","2,964","2,848","3,106","3,875","5,816",0
,,,(76.8),(0.8),(0.6),(4.4),(25.3),(46.3),(64.8),(51.5),(48.1),(55.8),(64.4),(80.3),(89.8),(100.0),(130.3),(175.9),(275.2),(409.1),-
,,남,"23,668",8,7,42,499,838,"1,080","1,009","1,075","1,555","2,012","2,420","2,681","2,138","1,934","1,860","2,015","2,495",0
,,,(92.7),(0.7),(0.6),(3.4),(30.0),(44.7),(65.4),(54.7),(53.6),(71.9),(89.2),(114.1),(131.8),(147.1),(184.4),(234.1),(350.5),(567.3),-
,,여,"15,577",10,6,64,307,798,967,845,820,820,862,932,979,826,914,"1,246","1,860","3,321",0
,,,(60.9),(0.9),(0.5),(5.5),(20.2),(48.1),(64.1),(48.2),(42.4),(39.2),(39.1),(45.4),(48.0),(54.6),(80.4),(128.3),(223.2),(338.2),-
,2017,계,"36,044",16,8,80,667,"1,323","1,676","1,530","1,718","2,033","2,512","2,838","3,523","3,021","2,587","2,847","3,733","5,932",0
,,,(70.4),(0.7),(0.3),(3.4),(22),(37.8),(51.5),(45.1),(43),(49.5),(55.4),(69.1),(83.4),(95.1),(114.4),(161.2),(247.8),(387.2),-
,,남,"21,645",8,5,39,410,691,847,864,971,"1,279","1,681","2,025","2,560","2,156","1,725","1,758","2,042","2,584",0
,,,(84.6),(0.7),(0.4),(3.2),(25.9),(37.3),(49.7),(49.6),(47.7),(61.4),(73.3),(97),(121.3),(138.1),(158.7),(218.8),(327.6),(535.3),-
,,여,"14,399",8,3,41,257,632,829,666,747,754,831,813,963,865,862,"1,089","1,691","3,348",0
,,,(56.1),(0.8),(0.3),(3.6),(17.7),(38.4),(53.6),(40.4),(38.1),(37.3),(37.1),(40.3),(45.6),(53.6),(73.4),(113.2),(191.5),(319.1),-
,2018,계,"33,796",27,8,44,468,"1,050","1,411","1,365","1,449","1,629","2,258","2,628","3,246","2,931","2,501","2,626","3,862","6,293",0
,,,(65.9),(1.3),(0.3),(1.9),(16.3),(30.6),(42.1),(42.3),(35.9),(41.1),(49.8),(63.2),(76.0),(86.8),(106.6),(144.7),(243.6),(382.8),-
,,남,"20,454",13,4,19,288,580,751,736,813,986,"1,550","1,879","2,379","2,113","1,727","1,653","2,153","2,810",0
,,,(79.9),(1.3),(0.3),(1.6),(19.2),(32.0),(42.6),(44.3),(39.6),(49.1),(67.4),(89.4),(111.2),(126.9),(153.0),(198.0),(324.8),(533.0),-
,,여,"13,342",14,4,25,180,470,660,629,636,643,708,749,867,818,774,973,"1,709","3,483",0
,,,(51.9),(1.4),(0.4),(2.2),(13.1),(28.9),(41.6),(40.2),(32.2),(33.0),(31.7),(36.5),(40.6),(47.8),(63.6),(99.4),(185.3),(311.9),-
,2019,계,"30,304",18,6,56,361,847,"1,225","1,080","1,287","1,368","1,910","2,318","2,871","2,764","2,269","2,431","3,320","6,173",0
,,,(59.0),(0.9),(0.3),(2.4),(13.2),(25.3),(35.7),(34.3),(32.5),(35.5),(42.6),(54.4),(67.4),(76.7),(92.8),(127.8),(207.1),(348.9),-
,,남,"18,470",10,4,28,217,462,685,594,710,871,"1,323","1,652","2,148","2,045","1,585","1,583","1,828","2,725",0
,,,(72.1),(1.0),(0.3),(2.4),(15.3),(26.3),(37.8),(36.5),(35.2),(44.4),(58.2),(76.9),(100.5),(115.0),(134.6),(179.1),(270.5),(472.1),-
,,여,"11,834",8,2,28,144,385,540,486,577,497,587,666,723,719,684,848,"1,492","3,448",0
,,,(46.0),(0.9),(0.2),(2.5),(11.0),(24.1),(33.3),(31.9),(29.7),(26.2),(26.6),(31.5),(34.1),(39.4),(54.0),(83.3),(160.9),(289.2),-
,2020,계,"25,350",9,11,35,248,661,968,925,"1,010","1,069","1,572","1,899","2,254","2,387","2,006","2,060","2,734","5,502",0
,,,(49.4),(0.5),(0.5),(1.5),(9.7),(20.2),(27.6),(29.5),(26.7),(27.7),(35.9),(43.8),(53.6),(62.7),(76.1),(103.0),(170.6),(290.2),-
,,남,"15,400",4,6,16,143,343,531,511,569,643,"1,058","1,370","1,637","1,767","1,401","1,363","1,580","2,458",0
,,,(60.1),(0.4),(0.5),(1.3),(10.8),(20.1),(28.7),(31.5),(29.4),(32.8),(47.6),(62.7),(77.4),(94.0),(110.2),(145.9),(231.6),(391.5),-
,,여,"9,950",5,5,19,105,318,437,414,441,426,514,529,617,620,605,697,"1,154","3,044",0
,,,(38.7),(0.6),(0.4),(1.7),(8.6),(20.4),(26.4),(27.5),(23.8),(22.4),(23.8),(24.6),(29.5),(32.2),(44.4),(65.4),(125.4),(240.1),-
,2021,계,"22,904",5,6,26,172,489,781,773,793,955,"1,280","1,735","1,937","2,282","1,893","2,071","2,438","5,268",0
,,,(44.6),(0.3),(0.3),(1.1),(7.2),(15.4),(22.1),(24.4),(22.1),(24.3),(30.3),(39.2),(47.0),(57.1),(65.7),(99.8),(152.6),(260.4),-
,,남,"13,893",3,3,14,95,256,419,410,458,555,848,"1,231","1,438","1,679","1,332","1,362","1,415","2,375",0
,,,(54.3),(0.4),(0.3),(1.2),(7.6),(15.5),(22.5),(24.9),(24.9),(27.8),(39.5),(55.2),(69.1),(85.0),(95.8),(140.4),(205.5),(349.6),-
,,여,"9,011",2,3,12,77,233,362,363,335,400,432,504,499,603,561,709,"1,023","2,893",0
,,,(35.0),(0.3),(0.3),(1.1),(6.7),(15.3),(21.7),(23.9),(19.1),(20.7),(20.7),(23.0),(24.5),(29.8),(37.6),(64.2),(112.5),(215.3),-
,2022,계,"20,383",6,2,19,128,302,546,629,639,803,999,"1,432","1,594","1,986","1,866","1,927","2,271","5,234",0
,,,(39.8),(0.4),(0.1),(0.8),(5.5),(10.0),(15.6),(19.3),(18.9),(20.2),(24.5),(31.9),(39.3),(47.9),(60.4),(89.7),(141.6),(241.1),-
,,남,"12,520",4,2,14,70,153,287,349,369,476,647,"1,017","1,218","1,481","1,339","1,304","1,363","2,427",0
,,,(49.0),(0.5),(0.2),(1.2),(5.8),(9.7),(15.6),(20.5),(21.3),(23.5),(31.3),(44.9),(59.4),(72.2),(89.6),(129.6),(194.6),(327.4),-
,,여,"7,863",2,0,5,58,149,259,280,270,327,352,415,376,505,527,623,908,"2,807",0
,,,(30.6),(0.3),0.0,(0.4),(5.1),(10.3),(15.7),(18.0),(16.4),(16.7),(17.5),(18.6),(18.8),(24.1),(33.1),(54.6),(100.4),(196.4),-
,2023,계,"19,540",1,4,15,96,247,502,508,563,726,868,"1,242","1,483","1,976","1,940","1,877","2,077","5,415",0
,,,(38.2),(0.1),(0.2),(0.6),(4.1),(8.6),(14.6),(15.2),(17.5),(18.1),(22.1),(27.7),(36.2),(47.2),(59.1),(84.2),(125.6),(235.7),-
,,남,"12,078",0,3,7,50,127,265,289,326,447,585,859,"1,105","1,477","1,419","1,272","1,284","2,563",0
,,,(47.4),0.0,(0.3),(0.6),(4.2),(8.5),(14.7),(16.5),(19.7),(21.9),(29.4),(37.9),(53.6),(71.1),(89.0),(121.7),(175.7),(322.4),-
,,여,"7,462",1,1,8,46,120,237,219,237,279,283,383,378,499,521,605,793,"2,852",0
,,,(29.1),(0.1),(0.1),(0.7),(4.1),(8.7),(14.6),(13.8),(15.1),(14.2),(14.6),(17.3),(18.5),(23.6),(30.9),(51.1),(86.0),(189.8),-
,2024,계,"17,944",4,6,18,104,229,402,475,474,621,706,"1,190","1,391","1,790","1,882","1,812","1,936","4,904",0
,,,(35.2),(0.3),(0.3),(0.8),(4.5),(8.4),(12.0),(13.9),(15.1),(15.8),(18.4),(26.8),(33.1),(42.8),(53.7),(78.0),(111.4),(205.1),-
,,남,"11,210",1,5,8,57,120,214,278,280,363,437,835,"1,019","1,348","1,392","1,250","1,219","2,384",0
,,,(44.1),(0.1),(0.5),(0.7),(4.8),(8.5),(12.2),(15.4),(17.3),(18.1),(22.5),(37.2),(48.4),(64.9),(81.7),(114.4),(157.0),(285.6),-
,,여,"6,734",3,1,10,47,109,188,197,194,258,269,355,372,442,490,562,717,"2,520",0
,,,(26.3),(0.5),(0.1),(0.9),(4.2),(8.4),(11.8),(12.1),(12.7),(13.3),(14.2),(16.2),(17.7),(21.0),(27.2),(45.6),(74.6),(161.9),-
,,,,,,,,,,,,,,,,,,,,,
신환자,2011,계,"39,557",59,38,305,"2,030","2,496","3,127","2,852","2,620","2,812","2,915","3,320","2,761","2,363","2,603","3,130","2,926","3,200",0
,,,(78.9),(2.6),(1.6),(9.6),(57.3),(79.0),(86.9),(72.2),(61.3),(62.6),(69.1),(80.2),(91.0),(104.3),(138.1),(196.7),(270.8),(330.3),-
,,남,"22,371",30,24,132,"1,285","1,241","1,577","1,528","1,526","1,723","1,904","2,189","1,815","1,517","1,550","1,678","1,391","1,261",0
,,,(89.2),(2.5),(1.9),(7.9),(68.3),(74.7),(85.1),(75.8),(70.1),(75.6),(88.3),(105.0),(120.4),(136.9),(177.0),(244.3),(339.6),(452.4),-
,,여,"17,186",29,14,173,745,"1,255","1,550","1,324","1,094","1,089","1,011","1,131",946,846,"1,053","1,452","1,535","1,939",0
,,,(68.7),(2.6),(1.2),(11.3),(44.8),(83.7),(88.7),(68.4),(52.2),(49.2),(49.1),(55.0),(61.9),(73.1),(104.3),(160.6),(228.8),(281.0),-
,2012,계,"39,545",59,42,199,"1,630","2,365","2,895","2,659","2,422","2,785","2,907","3,324","2,976","2,452","2,505","3,394","3,263","3,636",32
,,,(78.5),(2.5),(1.8),(6.5),(46.5),(72.7),(85.4),(66.3),(58.7),(61.0),(70.1),(77.5),(91.6),(104.8),(133.4),(200.6),(282.9),(350.6),-
,,남,"22,705",35,23,96,"1,027","1,212","1,490","1,439","1,447","1,738","1,992","2,288","2,010","1,596","1,482","1,826","1,560","1,423",21
,,,(90.1),(2.9),(1.9),(6.1),(55.2),(70.7),(85.2),(70.3),(69.1),(75.0),(93.9),(105.9),(124.4),(139.3),(168.5),(247.4),(350.3),(473.5),-
,,여,"16,840",24,19,103,603,"1,153","1,405","1,220",975,"1,047",915,"1,036",966,856,"1,023","1,568","1,703","2,213",11
,,,(66.9),(2.1),(1.7),(7.1),(36.6),(74.9),(85.6),(62.2),(48.1),(46.6),(45.1),(48.7),(59.2),(71.6),(102.6),(164.3),(240.6),(300.4),-
,2013,계,"36,089",40,25,155,"1,281","2,099","2,465","2,442","2,070","2,608","2,650","3,107","2,758","2,227","2,240","3,060","3,008","3,849",5
,,,(71.4),(1.7),(1.1),(5.4),(37.2),(62.7),(76.4),(60.4),(52.1),(57.2),(63.2),(71.6),(79.9),(91.9),(116.7),(172.7),(246.1),(345.0),-
,,남,"20,665",23,8,72,770,"1,125","1,296","1,292","1,194","1,603","1,783","2,082","1,860","1,463","1,403","1,717","1,440","1,531",3
,,,(81.7),(1.9),(0.7),(4.8),(42.3),(63.5),(77.7),(62.6),(59.1),(69.1),(83.6),(95.2),(108.0),(123.3),(154.5),(220.4),(300.3),(467.6),-
,,여,"15,424",17,17,83,511,974,"1,169","1,150",876,"1,005",867,"1,025",898,764,837,"1,343","1,568","2,318",2
,,,(61.0),(1.5),(1.5),(6.0),(31.4),(61.7),(75.0),(58.1),(44.8),(44.9),(42.0),(47.7),(52.0),(61.8),(82.7),(135.2),(211.1),(294.0),-
,2014,계,"34,869",40,21,115,"1,131","1,988","2,218","2,092","1,935","2,450","2,546","2,978","2,916","2,228","2,163","2,971","3,131","3,946",0
,,,(68.7),(1.7),(0.9),(4.2),(33.6),(57.9),(70.4),(52.7),(49.9),(54.3),(59.2),(68.9),(79.3),(88.4),(107.7),(166.4),(241.5),(327.0),-
,,남,"19,974",25,12,46,710,"1,075","1,135","1,130","1,091","1,499","1,698","2,033","1,962","1,485","1,334","1,650","1,484","1,605",0
,,,(78.7),(2.1),(1.0),(3.2),(40.2),(59.0),(69.4),(55.7),(55.3),(65.3),(77.9),(93.1),(106.8),(120.1),(139.2),(209.0),(287.6),(446.1),-
,,여,"14,895",15,9,69,421,913,"1,083",962,844,951,848,945,954,743,829,"1,321","1,647","2,341",0
,,,(58.7),(1.3),(0.8),(5.3),(26.4),(56.6),(71.4),(49.5),(44.4),(43.0),(40.0),(44.2),(51.8),(57.8),(78.9),(132.7),(211.1),(276.4),-
,2015,계,"32,181",23,16,128,"1,014","1,671","1,928","1,794","1,689","2,078","2,211","2,699","2,785","2,207","2,069","2,665","3,071","4,133",0
,,,(63.2),(1.0),(0.7),(5.0),(30.9),(47.6),(61.6),(47.3),(43.5),(47.1),(50.6),(63.3),(71.7),(81.3),(98.1),(149.9),(226.9),(315.0),-
,,남,"18,695",17,11,76,630,907,"1,029",958,963,"1,287","1,539","1,903","1,911","1,515","1,289","1,490","1,483","1,687",0
,,,(73.4),(1.5),(0.9),(5.7),(36.7),(48.7),(63.1),(49.3),(48.8),(57.3),(69.5),(88.1),(98.6),(113.8),(127.5),(188.1),(271.7),(423.4),-
,,여,"13,486",6,5,52,384,764,899,836,726,791,672,796,874,692,780,"1,175","1,588","2,446",0
,,,(52.9),(0.5),(0.4),(4.2),(24.5),(46.4),(59.9),(45.1),(38.1),(36.5),(31.1),(37.8),(44.9),(50.0),(71.0),(119.2),(196.6),(267.7),-
,2016,계,"30,892",17,13,102,750,"1,419","1,760","1,548","1,533","1,863","2,165","2,448","2,719","2,227","2,176","2,402","3,057","4,693",0
,,,(60.4),(0.8),(0.6),(4.2),(23.5),(40.1),(55.7),(43.0),(38.9),(43.8),(48.5),(58.7),(66.7),(75.1),(99.6),(136.1),(217.1),(330.1),-
,,남,"17,865",8,7,41,463,698,927,841,860,"1,198","1,493","1,719","1,940","1,556","1,404","1,346","1,471","1,893",0
,,,(70.0),(0.7),(0.6),(3.3),(27.8),(37.2),(56.1),(45.6),(42.9),(55.4),(66.2),(81.0),(95.4),(107.0),(133.9),(169.4),(255.9),(430.4),-
,,여,"13,027",9,6,61,287,721,833,707,673,665,672,729,779,671,772,"1,056","1,586","2,800",0
,,,(50.9),(0.8),(0.5),(5.3),(18.8),(43.4),(55.2),(40.3),(34.8),(31.8),(30.5),(35.5),(38.2),(44.4),(67.9),(108.8),(190.3),(285.2),-
,2017,계,"28,161",16,8,75,622,"1,135","1,429","1,244","1,379","1,602","1,902","2,088","2,623","2,240","1,972","2,196","2,919","4,711",0
,,,(55.0),(0.7),(0.3),(3.2),(20.5),(32.4),(43.9),(36.7),(34.5),(39.0),(41.9),(50.9),(62.1),(70.5),(87.2),(124.4),(193.8),(307.5),-
,,남,"16,147",8,5,36,386,581,711,686,759,981,"1,210","1,433","1,837","1,534","1,271","1,268","1,507","1,934",0
,,,(63.1),(0.7),(0.4),(3.0),(24.4),(31.4),(41.7),(39.4),(37.3),(47.1),(52.7),(68.6),(87.1),(98.3),(116.9),(157.8),(241.8),(400.7),-
,,여,"12,014",8,3,39,236,554,718,558,620,621,692,655,786,706,701,928,"1,412","2,777",0
,,,(46.8),(0.8),(0.3),(3.5),(16.3),(33.6),(46.4),(33.8),(31.6),(30.7),(30.9),(32.5),(37.2),(43.7),(59.7),(96.4),(159.9),(264.7),-
,2018,계,"26,433",27,7,43,431,897,"1,215","1,101","1,173","1,273","1,716","1,963","2,381","2,177","1,918","2,001","3,044","5,066",0
,,,(51.5),(1.3),(0.3),(1.8),(15.0),(26.1),(36.3),(34.1),(29.1),(32.1),(37.9),(47.2),(55.7),(64.5),(81.8),(110.3),(192.0),(308.1),-
,,남,"15,313",13,4,19,272,482,649,587,637,756,"1,165","1,361","1,682","1,506","1,268","1,191","1,581","2,140",0
,,,(59.8),(1.3),(0.3),(1.6),(18.2),(26.6),(36.8),(35.3),(31.0),(37.6),(50.7),(64.8),(78.6),(90.4),(112.3),(142.7),(238.5),(405.9),-
,,여,"11,120",14,3,24,159,415,566,514,536,517,551,602,699,671,650,810,"1,463","2,926",0
,,,(43.3),(1.4),(0.3),(2.1),(11.6),(25.5),(35.7),(32.8),(27.1),(26.5),(24.7),(29.3),(32.8),(39.2),(53.4),(82.7),(158.6),(262.0),-
,2019,계,"23,821",18,6,55,327,745,"1,058",903,"1,025","1,084","1,438","1,766","2,121","2,057","1,711","1,869","2,634","5,004",0
,,,(46.4),(0.9),(0.3),(2.4),(12.0),(22.2),(30.8),(28.7),(25.9),(28.1),(32.1),(41.5),(49.8),(57.1),(70.0),(98.3),(164.3),(282.8),-
,,남,"13,847",10,4,28,198,403,577,483,559,685,964,"1,211","1,539","1,476","1,142","1,148","1,370","2,050",0
,,,(54.1),(1.0),(0.3),(2.4),(14.0),(22.9),(31.9),(29.7),(27.7),(35.0),(42.4),(56.4),(72.0),(83.0),(96.9),(129.9),(202.7),(355.1),-
,,여,"9,974",8,2,27,129,342,481,420,466,399,474,555,582,581,569,721,"1,264","2,954",0
,,,(38.8),(0.9),(0.2),(2.4),(9.9),(21.4),(29.7),(27.6),(24.0),(21.0),(21.5),(26.3),(27.4),(31.9),(44.9),(70.8),(136.3),(247.8),-
,2020,계,"19,933",9,10,32,220,579,820,766,827,865,"1,171","1,425","1,655","1,772","1,538","1,622","2,177","4,445",0
,,,(38.8),(0.5),(0.4),(1.4),(8.6),(17.7),(23.4),(24.5),(21.8),(22.4),(26.7),(32.9),(39.3),(46.6),(58.4),(81.1),(135.8),(234.5),-
,,남,"11,608",4,5,15,124,296,449,415,469,524,758,"1,014","1,163","1,269","1,025","1,032","1,195","1,851",0
,,,(45.3),(0.4),(0.4),(1.3),(9.4),(17.3),(24.2),(25.6),(24.3),(26.7),(34.1),(46.4),(55.0),(67.5),(80.6),(110.5),(175.2),(294.8),-
,,여,"8,325",5,5,17,96,283,371,351,358,341,413,411,492,503,513,590,982,"2,594",0
,,,(32.3),(0.6),(0.4),(1.5),(7.8),(18.1),(22.5),(23.3),(19.3),(17.9),(19.2),(19.1),(23.5),(26.1),(37.6),(55.3),(106.7),(204.6),-
,2021,계,"18,335",5,6,26,155,431,690,652,670,777,969,"1,350","1,460","1,738","1,451","1,618","1,956","4,381",0
,,,(35.7),(0.3),(0.3),(1.1),(6.5),(13.6),(19.5),(20.6),(18.7),(19.8),(22.9),(30.5),(35.4),(43.5),(50.3),(78.0),(122.4),(216.6),-
,,남,"10,639",3,3,14,87,224,371,349,378,451,619,926,"1,046","1,251",975,"1,018","1,074","1,850",0
,,,(41.6),(0.4),(0.3),(1.2),(7.0),(13.5),(19.9),(21.2),(20.6),(22.6),(28.9),(41.6),(50.3),(63.3),(70.1),(104.9),(156.0),(272.3),-
,,여,"7,696",2,3,12,68,207,319,303,292,326,350,424,414,487,476,600,882,"2,531",0
,,,(29.9),(0.3),(0.3),(1.1),(5.9),(13.6),(19.2),(20.0),(16.6),(16.9),(16.8),(19.3),(20.3),(24.1),(31.9),(54.3),(97.0),(188.4),-
,2022,계,"16,264",6,2,18,120,264,470,531,530,664,768,"1,105","1,222","1,495","1,428","1,522","1,829","4,290",0
,,,(31.7),(0.4),(0.1),(0.8),(5.1),(8.7),(13.5),(16.3),(15.7),(16.7),(18.8),(24.6),(30.1),(36.1),(46.3),(70.8),(114.0),(197.6),-
,,남,"9,578",4,2,14,65,128,246,303,304,395,486,768,911,"1,091",991,996,"1,037","1,837",0
,,,(37.5),(0.5),(0.2),(1.2),(5.4),(8.1),(13.4),(17.8),(17.5),(19.5),(23.5),(33.9),(44.5),(53.2),(66.3),(99.0),(148.1),(247.8),-
,,여,"6,686",2,0,4,55,136,224,228,226,269,282,337,311,404,437,526,792,"2,453",0
,,,(26.0),(0.3),0.0,(0.3),(4.9),(9.4),(13.6),(14.7),(13.7),(13.8),(14.0),(15.1),(15.5),(19.3),(27.4),(46.1),(87.6),(171.6),-
,2023,계,"15,640",1,3,15,92,221,444,432,469,590,677,960,"1,136","1,518","1,474","1,462","1,663","4,483",0
,,,(30.6),(0.1),(0.1),(0.6),(3.9),(7.7),(12.9),(12.9),(14.6),(14.7),(17.2),(21.4),(27.7),(36.2),(44.9),(65.6),(100.6),(195.1),-
,,남,"9,302",0,3,7,48,113,234,236,273,364,456,661,834,"1,112","1,048",950,961,"2,002",0
,,,(36.5),0.0,(0.3),(0.6),(4.0),(7.6),(13.0),(13.5),(16.5),(17.8),(22.9),(29.1),(40.5),(53.5),(65.7),(90.9),(131.5),(251.8),-
,,여,"6,338",1,0,8,44,108,210,196,196,226,221,299,302,406,426,512,702,"2,481",0
,,,(24.7),(0.1),0.0,(0.7),(3.9),(7.9),(12.9),(12.3),(12.5),(11.5),(11.4),(13.5),(14.8),(19.2),(25.2),(43.3),(76.1),(165.1),-
,2024,계,"14,412",4,6,17,98,207,357,407,400,498,557,918,"1,059","1,393","1,440","1,424","1,567","4,060",0
,,,(28.2),(0.3),(0.3),(0.7),(4.3),(7.6),(10.7),(11.9),(12.7),(12.6),(14.5),(20.7),(25.2),(33.3),(41.1),(61.3),(90.2),(169.8),-
,,남,"8,690",1,5,8,56,106,193,241,235,292,347,631,764,"1,035","1,028",937,943,"1,868",0
,,,(34.2),(0.1),(0.5),(0.7),(4.7),(7.5),(11.0),(13.4),(14.5),(14.6),(17.9),(28.1),(36.3),(49.9),(60.4),(85.8),(121.5),(223.8),-
,,여,"5,722",3,1,9,42,101,164,166,165,206,210,287,295,358,412,487,624,"2,192",0
,,,(22.3),(0.5),(0.1),(0.8),(3.8),(7.7),(10.3),(10.2),(10.8),(10.6),(11.1),(13.1),(14.1),(17.0),(22.9),(39.5),(64.9),(140.9),-