연도,,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,결핵환자,"50,491","10,086","4,366","2,754","2,540","1,260","1,158","1,171",-,"9,792","1,842","1,502","1,980","1,968","2,279","3,761","3,402",630
,,(100.8),(99.7),(124.2),(110.8),(92.4),(86.9),(77.3),(104.3),-,(83.3),(121.3),(97.2),(95.5),(105.9),(119.8),(140.6),(103.8),(110.9)
,신환자,"39,557","8,028","3,357","2,211","1,997",948,959,966,-,"7,761","1,420","1,126","1,492","1,534","1,700","2,970","2,610",478
,,(78.9),(79.4),(95.5),(88.9),(72.6),(65.4),(64.0),(86.0),-,(66.0),(93.5),(72.9),(72.0),(82.5),(89.4),(111.0),(79.7),(84.1)
2012,결핵환자,"49,532","10,184","4,142","2,645","2,641","1,283","1,112","1,004",87,"9,735","1,806","1,530","1,871","1,723","2,443","3,423","3,281",622
,,(98.4),(101.2),(118.2),(106.4),(94.5),(88.1),(73.7),(88.5),(84.2),(81.7),(118.5),(98.7),(93.2),(92.6),(128.7),(127.7),(99.7),(108.2)
,신환자,"39,545","8,261","3,278","2,150","1,983","1,072",884,792,72,"7,818","1,413","1,187","1,476","1,345","1,942","2,789","2,585",498
,,(78.5),(82.1),(93.6),(86.5),(71.0),(73.6),(58.6),(69.8),(69.6),(65.6),(92.7),(76.6),(73.5),(72.3),(102.3),(104.0),(78.5),(86.6)
2013,결핵환자,"45,292","9,258","3,603","2,323","2,401","1,089","1,034",984,85,"9,384","1,690","1,277","1,760","1,591","2,130","3,119","3,055",509
,,(89.6),(92.5),(103.1),(93.6),(84.7),(74.5),(68.1),(85.9),(72.8),(77.8),(110.7),(81.9),(86.9),(85.5),(112.4),(116.3),(92.4),(87.1)
,신환자,"36,089","7,389","2,766","1,882","1,908",887,829,820,72,"7,523","1,371","1,018","1,374","1,224","1,677","2,536","2,405",408
,,(71.4),(73.8),(79.2),(75.8),(67.3),(60.7),(54.6),(71.6),(61.7),(62.4),(89.8),(65.3),(67.9),(65.8),(88.5),(94.6),(72.8),(69.9)
2014,결핵환자,"43,088","8,419","3,240","2,266","2,168","1,006","1,048",895,89,"8,860","1,935","1,242","1,815","1,604","2,130","3,050","2,880",441
,,(84.9),(84.4),(93.0),(91.5),(75.7),(68.7),(68.9),(77.5),(64.4),(72.6),(126.5),(79.3),(88.9),(86.2),(112.5),(113.7),(86.7),(74.0)
,신환자,"34,869","6,831","2,548","1,881","1,766",817,859,738,71,"7,177","1,555",998,"1,506","1,304","1,676","2,472","2,295",375
,,(68.7),(68.5),(73.1),(75.9),(61.7),(55.8),(56.5),(63.9),(51.3),(58.8),(101.6),(63.7),(73.8),(70.1),(88.5),(92.2),(69.1),(62.9)
2015,결핵환자,"40,847","7,605","3,046","1,899","2,110","1,000",913,777,101,"8,637","1,762","1,242","1,827","1,542","2,149","2,962","2,804",471
,,(80.2),(76.8),(87.6),(76.8),(73.1),(68.3),(60.3),(66.8),(55.3),(70.0),(114.9),(79.1),(88.9),(83.0),(113.5),(110.4),(84.0),(77.0)
,신환자,"32,181","6,011","2,386","1,518","1,646",803,730,634,80,"6,782","1,368",986,"1,455","1,206","1,657","2,328","2,217",374
,,(63.2),(60.7),(68.6),(61.4),(57.0),(54.8),(48.2),(54.5),(43.8),(55.0),(89.2),(62.8),(70.8),(64.9),(87.5),(86.7),(66.4),(61.2)
2016,결핵환자,"39,245","7,360","2,859","1,865","2,028",908,844,802,126,"8,312","1,647","1,254","1,892","1,619","1,903","2,859","2,556",411
,,(76.8),(75.0),(82.5),(75.6),(69.8),(62.1),(56.1),(68.8),(55.8),(66.4),(107.2),(79.5),(91.3),(87.3),(100.5),(106.5),(76.3),(65.4)
,신환자,"30,892","5,769","2,221","1,466","1,635",737,677,651,103,"6,577","1,298",977,"1,483","1,281","1,515","2,214","1,977",311
,,(60.4),(58.8),(64.1),(59.4),(56.3),(50.4),(45.0),(55.8),(45.6),(52.6),(84.5),(61.9),(71.5),(69.1),(80.0),(82.5),(59.0),(49.5)
2017,결핵환자,"36,044","6,663","2,462","1,652","1,865",856,846,695,137,"7,818","1,502","1,154","1,720","1,352","1,914","2,527","2,395",486
,,(70.4),(68.5),(71.4),(67.1),(63.9),(58.7),(56.5),(59.8),(52.6),(61.6),(97.7),(72.9),(82.2),(73.2),(101.4),(94.4),(71.4),(75.5)
,신환자,"28,161","5,226","1,861","1,333","1,472",703,681,556,92,"6,130","1,165",844,"1,359","1,025","1,503","1,978","1,853",380
,,(55.0),(53.7),(54.0),(54.2),(50.5),(48.2),(45.5),(47.8),(35.3),(48.3),(75.8),(53.3),(65.0),(55.5),(79.6),(73.9),(55.2),(59.0)
2018,결핵환자,"33,796","6,153","2,243","1,491","1,699",805,751,735,132,"7,311","1,431","1,108","1,620","1,307","1,831","2,420","2,303",456
,,(65.9),(63.8),(65.6),(60.9),(58.1),(55.4),(50.6),(63.7),(44.6),(56.8),(93.3),(69.8),(76.9),(71.3),(97.5),(90.7),(68.6),(69.4)
,신환자,"26,433","4,747","1,764","1,219","1,373",653,583,585,99,"5,666","1,154",862,"1,278","1,006","1,419","1,854","1,798",373
,,(51.5),(49.2),(51.6),(49.8),(47.0),(45.0),(39.2),(50.7),(33.4),(44.1),(75.3),(54.3),(60.6),(54.9),(75.6),(69.5),(53.6),(56.8)
2019,결핵환자,"30,304","5,450","2,064","1,331","1,640",706,664,583,98,"6,683","1,287",940,"1,408","1,207","1,607","2,259","1,977",400
,,(59.0),(56.9),(60.9),(54.7),(56.0),(48.7),(45.1),(50.9),(30.0),(51.2),(84.2),(59.1),(66.7),(66.5),(86.2),(85.1),(59.0),(60.3)
,신환자,"23,821","4,259","1,642","1,061","1,313",578,515,470,71,"5,231","1,010",677,"1,122",937,"1,295","1,786","1,532",322
,,(46.4),(44.5),(48.4),(43.6),(44.9),(39.9),(35.0),(41.0),(21.8),(40.1),(66.1),(42.6),(53.2),(51.6),(69.5),(67.3),(45.8),(48.5)
2020,결핵환자,"25,350","4,442","1,658","1,208","1,303",595,547,472,118,"5,491","1,050",800,"1,280","1,041","1,353","1,882","1,773",337
,,(49.4),(46.6),(49.2),(50.1),(44.6),(41.2),(37.5),(41.5),(34.0),(41.5),(68.7),(50.3),(60.7),(57.8),(73.2),(71.4),(53.2),(50.5)
,신환자,"19,933","3,486","1,270",977,"1,005",493,426,370,93,"4,343",850,616,"1,019",821,"1,044","1,495","1,356",269
,,(38.8),(36.6),(37.7),(40.5),(34.4),(34.1),(29.2),(32.6),(26.8),(32.9),(55.6),(38.7),(48.3),(45.6),(56.5),(56.7),(40.7),(40.3)
2021,결핵환자,"22,904","3,854","1,623","1,095","1,185",541,504,448,100,"5,111",954,758,"1,094",883,"1,286","1,684","1,527",257
,,(44.6),(40.8),(48.5),(45.9),(40.6),(37.6),(34.8),(39.9),(27.6),(38.1),(62.3),(47.6),(51.9),(49.4),(70.2),(64.3),(46.1),(38.3)
,신환자,"18,335","3,067","1,266",898,953,434,404,352,80,"4,137",771,609,860,725,"1,015","1,368","1,189",207
,,(35.7),(32.4),(37.9),(37.6),(32.6),(30.2),(27.9),(31.3),(22.0),(30.9),(50.4),(38.3),(40.8),(40.6),(55.4),(52.2),(35.9),(30.8)
2022,결핵환자,"20,383","3,424","1,340",928,"1,037",438,450,365,75,"4,570",899,633,"1,044",812,"1,183","1,610","1,322",253
,,(39.8),(36.5),(40.4),(39.2),(35.3),(30.6),(31.2),(32.8),(19.9),(33.8),(58.7),(39.8),(49.4),(45.8),(65.0),(61.8),(40.2),(37.6)
,신환자,"16,264","2,756","1,038",787,827,352,368,290,56,"3,626",704,498,842,653,917,"1,315","1,039",196
,,(31.7),(29.4),(31.3),(33.3),(28.1),(24.6),(25.5),(26.1),(14.9),(26.9),(46.0),(31.3),(39.8),(36.8),(50.4),(50.5),(31.6),(29.1)
2023,결핵환자,"19,540","3,351","1,285",953,"1,017",453,407,317,82,"4,339",788,651,"1,017",788,"1,047","1,554","1,254",237
,,(38.2),(35.9),(39.0),(40.2),(34.3),(31.9),(28.3),(28.7),(21.3),(32.0),(51.6),(41.0),(48.0),(44.8),(57.9),(60.7),(38.5),(35.2)
,신환자,"15,640","2,655","1,002",795,829,372,311,267,62,"3,440",629,528,852,640,828,"1,252",988,190
,,(30.6),(28.4),(30.4),(33.5),(27.9),(26.2),(21.6),(24.2),(16.1),(25.4),(41.2),(33.2),(40.2),(36.4),(45.8),(48.9),(30.3),(28.2)
2024,결핵환자,"17,944","3,012","1,141",899,950,404,369,366,58,"4,073",728,605,873,731,"1,007","1,403","1,087",238
,,(35.2),(32.4),(34.9),(38.1),(31.7),(28.7),(25.7),(33.3),(15),(30),(48),(38.1),(41.1),(42),(56.2),(55.3),(33.7),(35.6)
,신환자,"14,412","2,383",904,767,787,332,299,297,39,"3,205",577,489,702,608,818,"1,143",867,195
,,(28.2),(25.7),(27.7),(32.5),(26.3),(23.6),(20.8),(27.1),(10.1),(23.6),(38),(30.8),(33),(34.9),(45.6),(45.1),(26.8),(29.1)