₩,,계,폐결핵,,폐외결핵,,,,,,,
,,,,도말양성,소계,흉막,림프절,장/복막,뼈/관절,신경계,비뇨기계,기타장기
2011,결핵환자,"50,491","39,135","15,742","11,356","3,659","2,496","1,349",651,419,282,"2,500"
,,(100.8),(78.1),(31.4),(22.7),,,,,,,
,신환자,"39,557","30,100","11,531","9,457","3,167","1,993","1,155",520,337,240,"2,045"
,,(78.9),(60.1),(23.4),(18.9),,,,,,,
2012,결핵환자,"49,532","39,602","16,006","9,930","3,206","2,165","1,315",657,375,271,"1,941"
,,(98.4),(78.7),(31.8),(19.7),,,,,,,
,신환자,"39,545","31,075","12,137","8,470","2,873","1,739","1,174",544,335,235,"1,570"
,,(78.5),(61.7),(24.1),(16.8),,,,,,,
2013,결핵환자,"45,292","36,516","14,368","8,776","2,546","2,289","1,333",536,405,247,"1,420"
,,(89.6),(72.2),(28.4),(17.4),,,,,,,
,신환자,"36,089","28,720","11,100","7,369","2,258","1,826","1,161",441,344,212,"1,127"
,,(71.4),(56.8),(22.0),(14.6),,,,,,,
2014,결핵환자,"43,088","35,057","13,175","8,031","2,857","2,186","1,253",522,324,216,731
,,(84.9),(69.1),(26.0),(15.8),,,,,,,
,신환자,"34,869","27,906","10,446","6,963","2,568","1,780","1,133",418,288,192,636
,,(68.7),(55.0),(20.6),(13.7),,,,,,,
2015,결핵환자,"40,847","33,013","11,997","7,834","3,089","1,927","1,164",565,385,199,556
,,(80.2),(64.8),(23.5),(15.4),,,,,,,
,신환자,"32,181","25,550","9,309","6,631","2,685","1,526","1,041",456,323,173,473
,,(63.2),(50.1),(18.3),(13.0),,,,,,,
2016,결핵환자,"39,245","31,859","11,141","7,386","2,908","1,759","1,156",499,307,220,589
,,(76.8),(62.3),(21.8),(14.5),,,,,,,
,신환자,"30,892","24,696","8,812","6,196","2,492","1,362","1,040",380,265,192,512
,,(60.4),(48.3),(17.2),(12.1),,,,,,,
2017,결핵환자,"36,044","29,102","9,859","6,942","2,686","1,529","1,094",467,350,184,689
,,(70.4),(56.8),(19.2),(13.6),,,,,,,
,신환자,"28,161","22,314","7,701","5,847","2,337","1,176",949,363,310,169,591
,,(55.0),(43.6),(15.0),(11.4),,,,,,,
2018,결핵환자,"33,796","27,137","9,195","6,659","2,671","1,498","1,037",495,305,168,535
,,(65.9),(52.9),(17.9),(13.0),,,,,,,
,신환자,"26,433","20,883","7,321","5,550","2,335","1,132",906,376,264,143,433
,,(51.5),(40.7),(14.3),(10.8),,,,,,,
2019,결핵환자,"30,304","24,302","8,116","6,002","2,431","1,299",864,425,274,167,593
,,(59.0),(47.3),(15.8),(11.7),,,,,,,
,신환자,"23,821","18,765","6,497","5,056","2,125","1,007",756,331,239,138,501
,,(46.4),(36.6),(12.7),(9.8),,,,,,,
2020,결핵환자,"25,350","19,724","6,657","5,626","2,353","1,224",722,414,233,175,540
,,(49.4),(38.4),(13.0),(11.0),,,,,,,
,신환자,"19,933","15,221","5,379","4,712","2,047",945,636,326,195,148,444
,,(38.8),(29.6),(10.5),(9.2),,,,,,,
2021,결핵환자,"22,904","17,858","6,316","5,046","1,978","1,068",764,382,261,153,478
,,(44.6),(34.8),(12.3),(9.8),,,,,,,
,신환자,"18,335","14,100","5,170","4,235","1,714",841,658,309,224,130,390
,,(35.7),(27.5),(10.1),(8.3),,,,,,,
2022,결핵환자,"20,383","15,746","5,722","4,637","2,007",901,604,322,266,113,451
,,(39.8),(30.7),(11.2),(9.0),,,,,,,
,신환자,"16,264","12,406","4,669","3,858","1,715",698,518,247,229,97,381
,,(31.7),(24.2),(9.1),(7.5),,,,,,,
2023,결핵환자,"19,540","15,391","5,305","4,149","1,840",755,572,256,226,110,426
,,(38.2),(30.1),(10.4),(8.1),,,,,,,
,신환자,"15,640","12,121","4,321","3,519","1,602",583,503,205,198,96,363
,,(30.6),(23.7),(8.4),(6.9),,,,,,,
2024,결핵환자,"17,944","14,095","4,740","3,849","1,720",714,475,290,173,102,390
,,(35.2),(27.6),(9.3),(7.5),,,,,,,
,신환자,"14,412","11,158","3,849","3,254","1,487",546,416,244,142,92,339
,,(28.2),(21.9),(7.5),(6.4),,,,,,,